time,x,y,qx,qy,qz,qw
18.503306736000003,1.3779062094274383e-05,2.1137930601657494e-11,2.322885746517424e-15,-4.179729501086649e-13,-4.3456534685962814e-11,1.0
18.524587318000002,5.362915322322684e-05,4.401632086480496e-11,9.39237423517881e-15,-1.386986821069141e-12,-9.055977995384248e-11,1.0
18.54487344,0.0001195831217911065,6.697294645286863e-11,1.8102458311709907e-14,-2.3832059576158176e-12,-1.3852430902801209e-10,1.0
18.565325965,0.00021164082914096474,8.99226007122113e-11,2.5790363559192775e-14,-2.861250925674515e-12,-1.8708618037310759e-10,1.0
18.585712793000003,0.00032980208122521435,1.1285779821646667e-10,3.2050383530913556e-14,-2.553411366315888e-12,-2.3573163628727627e-10,1.0
18.605687281,0.0004740666286072706,1.3577424345225897e-10,3.777258933742969e-14,-1.6136033621720518e-12,-2.8390265682483566e-10,1.0
18.626875023,0.00064443416646366,1.5866807585524273e-10,4.370834371756116e-14,-5.347947690990055e-13,-3.3129586172313405e-10,1.0
18.647666396,0.0008409043345866002,1.8153585924762664e-10,4.99572490015645e-14,1.1554981817431533e-13,-3.780252805510456e-10,1.0
18.667920896000002,0.0010634767173870474,2.0437444500876242e-10,5.628072178002363e-14,-8.243770457416523e-17,-4.245610947387999e-10,1.0
18.688471412000002,0.0013121508438982165,2.271806697789877e-10,6.253196774394904e-14,-8.082618717578362e-13,-4.714773768367835e-10,1.0
18.709003391,0.0015869261877795703,2.499510566723316e-10,6.877179353787464e-14,-1.8640316435362114e-12,-5.191441956999535e-10,1.0
18.728194799,0.0018878021673212767,2.7268169394449503e-10,7.512179812937458e-14,-2.5895440695088797e-12,-5.675291179779471e-10,1.0
18.749038704,0.002214778145449138,2.9536836520667024e-10,8.160386100566365e-14,-2.5840378237199028e-12,-6.162145443061021e-10,1.0
18.770724963000003,0.0025678534297299905,3.180068606967144e-10,8.811596393915617e-14,-1.8389162373856486e-12,-6.646217198389114e-10,1.0
18.790462581,0.0029470272723775663,3.4059329250900075e-10,9.452244449122299e-14,-7.42402032210397e-13,-7.123213104535074e-10,1.0
18.811684359,0.0033522988702588395,3.631242304676243e-10,1.0075684665196528e-13,1.288080524527679e-13,-7.592637929960248e-10,1.0
18.8321195,0.0037836673649008275,3.8559657525902094e-10,1.0686173472626897e-13,3.1898750729403513e-13,-8.058059695707553e-10,1.0
18.854062829,0.0042411318424978636,4.080072358006425e-10,1.1295480095611102e-13,-2.6218773192891285e-13,-8.525195004305823e-10,1.0
18.873186285000003,0.004724691333919348,4.3035279266253623e-10,1.1915623677045545e-13,-1.2912422083740689e-12,-8.99884280645246e-10,1.0
18.894990694,0.0052343448147179625,4.526293418964014e-10,1.2552287858516607e-13,-2.2043904257160402e-12,-9.4803105616336e-10,1.0
18.913974869,0.005770091205138339,4.748326146716855e-10,1.3202116256398848e-13,-2.4999337868296578e-12,-9.966712429451172e-10,1.0
18.934381726,0.006331929370126232,4.969583118569233e-10,1.3854811615823789e-13,-2.007458919918108e-12,-1.0452516880924363e-09,1.0
18.956587634,0.00691985811933812,5.190024671383403e-10,1.4498705083087196e-13,-9.793369712655663e-13,-1.0932514779261967e-09,1.0
18.976366351000003,0.007533876207151309,5.409616303202738e-10,1.5126910239166317e-13,4.4702499166022605e-14,-1.140461489820677e-09,1.0
18.997524907000003,0.008173982332674468,5.628327597050644e-10,1.5740924590015175e-13,5.272096150783166e-13,-1.187096568606095e-09,1.0
19.018639427,0.008840175139758677,5.846128762981887e-10,1.6349810822088118e-13,2.21330161587232e-13,-1.2336801944690991e-09,1.0
19.038284404000002,0.00953245321700891,6.062986706817694e-10,1.696536691140094e-13,-6.968412067075398e-13,-1.2807636661703668e-09,1.0
19.059405547,0.010250815097795974,6.278862861023765e-10,1.7595826650588921e-13,-1.722725079832087e-12,-1.3286304276994408e-09,1.0
19.079267326,0.010995259260268966,6.493714074349102e-10,1.8241448653714174e-13,-2.293876146539774e-12,-1.3771440109529933e-09,1.0
19.10071379,0.011765784127368154,6.707496152822944e-10,1.889436745281535e-13,-2.091726492359033e-12,-1.425821177172533e-09,1.0
19.121301247,0.012562388066838336,6.920168120803415e-10,1.9542802802309657e-13,-1.2125765333871725e-12,-1.4740911714483555e-09,1.0
19.140562531,0.013385069391242673,7.1316947981549e-10,2.0177377965899175e-13,-1.1594548186620156e-13,-1.5216020191787812e-09,1.0
19.162200146,0.014233826357976976,7.342046170832523e-10,2.0796154763704497e-13,6.220363709671651e-13,-1.5684093878907876e-09,1.0
19.181802801,0.015108657169284456,7.551193807451974e-10,2.1405676835627402e-13,6.177416954763584e-13,-1.6149466541490094e-09,1.0
19.205005164000003,0.016009559972270982,7.759106259297786e-10,2.2017458600379444e-13,-1.1421837159001387e-13,-1.6617923806507245e-09,1.0
19.224885889000003,0.016936532858920734,7.965746016594865e-10,2.2641806524032972e-13,-1.1688698003645479e-12,-1.70936000827973e-09,1.0
19.243961181,0.017889573866112393,8.171069793043988e-10,2.328229007883189e-13,-1.968068634800169e-12,-1.757676102221954e-09,1.0
19.264635066,0.018868680975635745,8.375032086719822e-10,2.3933827390498925e-13,-2.0706223309479315e-12,-1.8063660426978655e-09,1.0
19.288296409,0.019873852114208754,8.57759011523936e-10,2.4585411102387616e-13,-1.4090499043094614e-12,-1.8548549639766729e-09,1.0
19.307090024,0.020905085153495134,8.77870738677404e-10,2.5226013346580426e-13,-3.258410811386396e-13,-1.9026762360746244e-09,1.0
19.328065916,0.021962377910122368,8.978353849909805e-10,2.5850503135474885e-13,6.1034270084812e-13,-1.9497218785693157e-09,1.0
19.347178590000002,0.02304572814570016,9.176502428370612e-10,2.6462400058201327e-13,9.098136207795458e-13,-1.99630044982014e-09,1.0
19.367782139000003,0.024155133566839414,9.373123775071047e-10,2.707198539682026e-13,4.245223336325305e-13,-2.0429714519585777e-09,1.0
19.390365469000002,0.025290591825171602,9.568182135248874e-10,2.769078543363725e-13,-5.725860640400948e-13,-2.0902452177552073e-09,1.0
19.408707789,0.026452100517368637,9.761634672335193e-10,2.8325388474977133e-13,-1.5339666463261262e-12,-2.1383092075811227e-09,1.0
19.429508289,0.027639657185163227,9.953434741599938e-10,2.8973911579396227e-13,-1.9311505533269497e-12,-2.186927418057565e-09,1.0
19.448679818000002,0.02885325931536965,1.0143537402574474e-09,2.962701047871905e-13,-1.5382899909036682e-12,-2.2355669286120014e-09,1.0
19.469956433,0.030092904339905014,1.033190415665331e-09,3.0272891661768827e-13,-5.53403548773928e-13,-2.2836838408171947e-09,1.0
19.490995136000002,0.031358589635810966,1.0518504237467608e-09,3.090363986869471e-13,5.078740696947104e-13,-2.331015167643913e-09,1.0
19.509942169000002,0.03265031252527586,1.0703311628726779e-09,3.151946590070592e-13,1.0890071408938396e-12,-2.3777199255749152e-09,1.0
19.530617387,0.03396807027565742,1.0886299346986654e-09,3.212859360737899e-13,8.911309527685701e-13,-2.4242937529008807e-09,1.0
19.551482122,0.035311860099505835,1.1067434096397485e-09,3.274284682745045e-13,3.3306816928734367e-14,-2.471303014582817e-09,1.0
19.573820758,0.03668167915458724,1.124667428209892e-09,3.3371306092115743e-13,-1.0113611062127737e-12,-2.5190810477822497e-09,1.0
19.593106599000002,0.038077524543907844,1.1423972584109955e-09,3.4015438372815357e-13,-1.6694595898366653e-12,-2.5675493558954735e-09,1.0
19.612752658,0.03949939331573833,1.1599281792982904e-09,3.466831048795424e-13,-1.5748771022631369e-12,-2.616259652898187e-09,1.0
19.634045915,0.04094728246363883,1.1772560759202332e-09,3.531830768438832e-13,-7.652980039994871e-13,-2.6646343513504864e-09,1.0
19.654329393,0.042421188926484235,1.1943777155010463e-09,3.595536457187651e-13,3.379837604775218e-13,-2.7122765216972488e-09,1.0
19.674581529,0.0439211095884902,1.2112905425220778e-09,3.657636636892264e-13,1.156159099254199e-12,-2.7591828897505664e-09,1.0
19.696111565000002,0.04544704127923924,1.2279920930892584e-09,3.718682070066744e-13,1.2634703663901697e-12,-2.8057455340228125e-09,1.0
19.715463414000002,0.04699898077370772,1.244479342880104e-09,3.779790196531975e-13,6.155572964346842e-13,-2.8525415058347706e-09,1.0
19.736332829000002,0.04857692479229285,1.2607483479430892e-09,3.8420455829066267e-13,-4.2679530105747263e-13,-2.9000233251902696e-09,1.0
19.756741639,0.05018087000084051,1.2767943848505393e-09,3.905918172555422e-13,-1.2911534086571444e-12,-2.948276276989536e-09,1.0
19.776715565,0.05181081301067333,1.2926125260209354e-09,3.971011268710524e-13,-1.5004789407207988e-12,-2.996972612236761e-09,1.0
19.79887837,0.053466750378619234,1.3081983438444383e-09,4.0362742961279737e-13,-9.29108904305224e-13,-3.0455473314302896e-09,1.0
19.820189331,0.055148678607040584,1.32354835792714e-09,4.100566344500629e-13,1.2976010958323508e-13,-3.0935013627230918e-09,1.0
19.839572341,0.05685659414386354,1.3386599716232215e-09,4.163268338492226e-13,1.1214122009796618e-12,-3.1406693930255157e-09,1.0
19.860863313000003,0.05859049338260808,1.3535309197948742e-09,4.224615289409501e-13,1.527285123810505e-12,-3.1873085319905863e-09,1.0
19.88079125,0.06035037266241839,1.3681585202787015e-09,4.285570181497016e-13,1.1431406792865516e-12,-3.233960312706583e-09,1.0
19.902311898,0.06213622826809369,1.382539136918499e-09,4.3473072456113466e-13,1.8855819869171367e-13,-3.281160205820988e-09,1.0
19.9238083,0.06394805643011957,1.3966681551490638e-09,4.4105820493539505e-13,-8.108456134952021e-13,-3.3291504387782395e-09,1.0
19.942896377,0.06578585332469966,1.4105404961219169e-09,4.475326279623734e-13,-1.3053233138677506e-12,-3.3777500410504193e-09,1.0
19.96334269,0.06764961507378796,1.42415139962752e-09,4.5406843927220393e-13,-1.0159410490691694e-12,-3.4264518647773025e-09,1.0
19.98420999,0.06953933774512135,1.4374970515260623e-09,4.605472502641175e-13,-8.430674586399196e-14,-3.474694683186813e-09,1.0
20.006727252,0.07145501735225278,1.450574706623222e-09,4.668813543291869e-13,1.003399507995692e-12,-3.5221643804257944e-09,1.0
20.027763070000002,0.07339664985458474,1.4633822273611032e-09,4.730607945544152e-13,1.6773386794457644e-12,-3.5689624933031785e-09,1.0
20.0475125,0.0753642311574034,1.4759172783929799e-09,4.79158709093619e-13,1.5897387513840369e-12,-3.6155516704112967e-09,1.0
20.069947553000002,0.07735775711191285,1.4881766117624792e-09,4.852920833911461e-13,8.013901014936218e-13,-3.662507461525424e-09,1.0
20.091823792,0.07937722351527016,1.5001558372129677e-09,4.915589873239689e-13,-2.5099248287507214e-13,-3.7102096349889504e-09,1.0
20.110596086,0.08142262611062061,1.5118498145922796e-09,4.979859750904834e-13,-9.88985518656574e-13,-3.758638480947436e-09,1.0
